openalexid_first,title_first,abstract_first,openalexid_second,title_second,abstract_second,label
https://openalex.org/W4238614502,Vom Wildwuchs zum Bonsai - die Rechtssoziologie im Lehrbuch,"KJ Kritische Justiz , Seite 346 - 355",https://openalex.org/W4238614502,Vom Wildwuchs zum Bonsai - die Rechtssoziologie im Lehrbuch,"KJ Kritische Justiz , Seite 346 - 355",1
https://openalex.org/W4238614502,Vom Wildwuchs zum Bonsai - die Rechtssoziologie im Lehrbuch,"KJ Kritische Justiz , Seite 346 - 355",https://openalex.org/W4238614502,Vom Wildwuchs zum Bonsai - die Rechtssoziologie im Lehrbuch,"KJ Kritische Justiz , Seite 346 - 355",1
https://openalex.org/W2417807137,Treatment of Pseudoneurotic Schizophrenics and Chronic Neurotics,"FrenchEtant donné leurs manifestations neurogènes, les schizophrènes pseudonévrosés sont aisément confondus avec les sujets atteints de névroses vraies. Ces malheureux sont assaillis par un ensemble complexe d'anxiété, de craintes, d'élans compulsifs, d'obsessions, de dépression, d'asthénie chronique et d'affections hypocondriaques. Il est possible qu'ils traversent de courts épisodes parapsychotiques. On pense qu'il s'agit là d'un trouble inné des capacités d'intégration qui limite leur capacité d'ajustement ou les empêche de profiter pleinement de la psychothérapie. La cure physiologique permet de modifier l'anomalie fondamentale de ces capacités; elle est en outre indispensable si l'on veut voir l'état de ces patients s'améliorer ou si l'on veut que ces malades bénéficient de la psychothérapie également indiquée. En nous basant sur nos antécédents cliniques, l'administration simultanée de tranylcypromine et de trifluopérazine constitue le traitement de choix chez de tels sujets. Le pourcentage de succès est plus élevé avec cette méthode qu'avec celles qui furent utilisées jusqu'ici; en outre, elle entraîne souvent une amélioration spectaculaire et soutenue. Cette combinaison nous a offert une thérapeutique sûre et relativement dépourvue de manifestations gênantes. Des rapports préliminaires seront établis sur plusieurs études contrôlées.",https://openalex.org/W4238614502,Vom Wildwuchs zum Bonsai - die Rechtssoziologie im Lehrbuch,"KJ Kritische Justiz , Seite 346 - 355",0
https://openalex.org/W2263210207,Diploma Supplement - Instrument of the Quality Assurance Process in the Romanian Higher Education?,"The quality of education, graduate’s performances and the level of abilities and skills acquiredduring their studies are reflected in the Diploma Supplement, crucial tool in ensuring quality in highereducation and in university’s activity centering on the student. The Diploma Supplement is a response tochallenges, aiding mobility and access to lifelong learning opportunities. It promotes transparency in highereducation and fair and informed judgements about qualifications. National higher education institutionsproduce the supplement according to a template jointly developed by the European Commission, the Councilof Europe and UNESCO. The purposes of this paper are to analyze the importance of universities’classification realized for the first time in Romania and the impact that it has on student, because I considerthat the student is very important for developing universities’ structure and activities.",https://openalex.org/W4238614502,Vom Wildwuchs zum Bonsai - die Rechtssoziologie im Lehrbuch,"KJ Kritische Justiz , Seite 346 - 355",0
https://openalex.org/W2993703932,La voie des idées,"Lorsque Descartes fait de la connaissance de l'esprit humain la tâche première de la philosophie, il lui applique l'idée moderne de la science comme connaissance certaine et évidente. Aucun penseur ne contestera par la suite cette décision cartésienne. Dans son sillage mais aussi contre elle, apparaît une constellation de penseurs de premier ordre dans le ciel de la philosophie : Pascal, Hobbes, Spinoza, Malebranche, Leibniz, Locke, Berkeley, Hume. La réflexion philosophique accompagnant la « révolution scientifique » commencée avec Galilée s'engage alors dans « la voie des idées ». C'est sur cette voie que Pierre Guenancia nous entraîne, soulignant toujours dans les différences et les oppositions entre ces philosophes la perspective qui leur est commune : l'analyse de la connaissance doit précéder la connaissance des choses de l'univers, car ce n'est qu'à partir de nos idées que nous pouvons connaître les choses.",https://openalex.org/W3153143157,Considerações sobre a impossibilidade de definir o homem a partir de Descartes,"Considerações sobre a impossibilidade de definir o homem a partir de Descartes Procuramos, neste texto, pensar o significado da rejeição da tradicional definição de homem efetuada por Descartes, quando tenta entender o que somos. Essa rejeição é resultado de um novo método de filosofar, que poderíamos designar como via das ideias – aquela que parte das forças do próprio espírito para examinar tudo o que ocorre nele e em qualquer outra coisa, evitando usar de pressuposições. A fim de marcar essa diferença de perspectiva e a reiterada disposição do filósofo francês em elaborá-la, apontamos a limitação da noção de conceito – seja aquela da tradição aristotélica-escolástica, seja a pós-cartesiana, fortemente marcada pela representação científica – para dar conta da problemática do fenômeno humano. Nesse sentido, insistimos na riqueza e amplitude da noção de ideia – elaborada e reelaborada ao longo dos anos pelo filósofo – para enfrentar esse complexo fenômeno. Uma vez que o homem não é uma substância, a manifestação dos seus aspectos é sempre adjetiva, podendo qualificá-lo sem, contudo, propiciar a sua compreensão. Essa dificuldade de apreensão exige, portanto, que o estudo da ideia de homem explore até o limite a própria racionalidade humana Palavras-chave: Descartes; Homem; Ideia; Conceito; Definição. Considerations on the impossibility of defining man based on Descartes Abstract: The aim of this text is to reflect on the meaning of the rejection of the traditional definition of man performed by Descartes when he attempts to understand what we are. This rejection is the result of a new method of philosophizing, which we may designate as the way of ideas—that which emerges from the forces of one’s own spirit to examine all that occurs within it and in any other thing, avoiding the use of presuppositions. To highlight this difference of perspective and the reiterated willingness of this French philosopher in elaborating it, we indicate the limitation of the notion of concept—whether that of the Aristotelian-Scholastic tradition or the post-Cartesian tradition, strongly characterized by scientific representation—to deal with the problematic of the phenomenon of the human. In this respect, we stress the richness and amplitude of the notion of idea, elaborated and re-elaborated over years by this philosopher, to address this complex phenomenon. Since man is not a substance, the manifestation of his aspects is always adjectival, allowing qualification without, however, providing comprehension. This difficulty of perception therefore requires that the study of the idea of man explore human rationality itself to the greatest extent. Keywords: Descartes; Man; Idea; Concept; Definition. Considérations sur l'impossibilité de définir l'homme à partir de Descartes Resumé: On se propose, dans ce texte, de réfléchir sur le sens du rejet de la définition traditionnelle de l'homme faite par Descartes, lorsqu'il tente de comprendre ce que nous sommes. Ce rejet est le résultat d'une nouvelle méthode de philosopher, que nous pourrions désigner comme la voie des idées - celle qui part des forces de l'esprit lui-même pour examiner tout ce qui se passe en lui et en toute autre chose, en évitant d'utiliser des présupposés. Pour marquer cette différence de perspective et la disposition réitérée du philosophe français dans son élaboration, nous soulignons la limitation de la notion de concept - soit celle de la tradition aristotélicienne-scolastique, soit celle post-cartésienne, fortement marquée par la représentation scientifique - pour rendre compte de la problématique du phénomène humain. En ce sens, nous insistons sur la richesse et l'amplitude de la notion d'idée - élaborée et retravaillée au fil des années par Descartes - pour faire face à ce phénomène complexe. Une fois l'homme n'est plus une substance, la manifestation de ses aspects reste toujours adjective, pouvant le qualifier sans toutefois favoriser sa compréhension. Cette difficulté d'appréhension exige donc que l'étude de l'idée de l'homme explore jusqu'à la limite la rationalité humaine elle-même. Mots-clés: Descartes; Homme; Idée; Concept; Définition.",1
https://openalex.org/W3128504527,Generating and Visualizing Spatially Disaggregated Synthetic Population Using a Web-Based Geospatial Service,"Geographically fine-grained population information is critical for various urban planning and management tasks. This is especially the case for the Chinese cities that are undergoing rapid development and transformation. However, detailed population data are rarely available in comprehensive and timely means. Therefore, appropriate approaches are needed to estimate populations from available data sets in a systematic way to support the continuous demand from urban analytics and planning. Population synthesis approaches such as Iterative Proportional Fitting (IPF) were developed to combine microdata samples with marginal statistics about population characteristics at aggregated spatial levels in order to expand the microdata sample into a complete synthetic population. This paper presents the framework for and the implementation of a geospatial platform for supporting the generation and exploration of spatially detailed urban synthetic populations. The platform provides analytical and visualization tools to support the quick generation of a full urban population with critical attributes based on the latest data available. The case of the synthetic population of Chongqing is used to illustrate the population information and types of visualization that are facilitated.",https://openalex.org/W3153143157,Considerações sobre a impossibilidade de definir o homem a partir de Descartes,"Considerações sobre a impossibilidade de definir o homem a partir de Descartes Procuramos, neste texto, pensar o significado da rejeição da tradicional definição de homem efetuada por Descartes, quando tenta entender o que somos. Essa rejeição é resultado de um novo método de filosofar, que poderíamos designar como via das ideias – aquela que parte das forças do próprio espírito para examinar tudo o que ocorre nele e em qualquer outra coisa, evitando usar de pressuposições. A fim de marcar essa diferença de perspectiva e a reiterada disposição do filósofo francês em elaborá-la, apontamos a limitação da noção de conceito – seja aquela da tradição aristotélica-escolástica, seja a pós-cartesiana, fortemente marcada pela representação científica – para dar conta da problemática do fenômeno humano. Nesse sentido, insistimos na riqueza e amplitude da noção de ideia – elaborada e reelaborada ao longo dos anos pelo filósofo – para enfrentar esse complexo fenômeno. Uma vez que o homem não é uma substância, a manifestação dos seus aspectos é sempre adjetiva, podendo qualificá-lo sem, contudo, propiciar a sua compreensão. Essa dificuldade de apreensão exige, portanto, que o estudo da ideia de homem explore até o limite a própria racionalidade humana Palavras-chave: Descartes; Homem; Ideia; Conceito; Definição. Considerations on the impossibility of defining man based on Descartes Abstract: The aim of this text is to reflect on the meaning of the rejection of the traditional definition of man performed by Descartes when he attempts to understand what we are. This rejection is the result of a new method of philosophizing, which we may designate as the way of ideas—that which emerges from the forces of one’s own spirit to examine all that occurs within it and in any other thing, avoiding the use of presuppositions. To highlight this difference of perspective and the reiterated willingness of this French philosopher in elaborating it, we indicate the limitation of the notion of concept—whether that of the Aristotelian-Scholastic tradition or the post-Cartesian tradition, strongly characterized by scientific representation—to deal with the problematic of the phenomenon of the human. In this respect, we stress the richness and amplitude of the notion of idea, elaborated and re-elaborated over years by this philosopher, to address this complex phenomenon. Since man is not a substance, the manifestation of his aspects is always adjectival, allowing qualification without, however, providing comprehension. This difficulty of perception therefore requires that the study of the idea of man explore human rationality itself to the greatest extent. Keywords: Descartes; Man; Idea; Concept; Definition. Considérations sur l'impossibilité de définir l'homme à partir de Descartes Resumé: On se propose, dans ce texte, de réfléchir sur le sens du rejet de la définition traditionnelle de l'homme faite par Descartes, lorsqu'il tente de comprendre ce que nous sommes. Ce rejet est le résultat d'une nouvelle méthode de philosopher, que nous pourrions désigner comme la voie des idées - celle qui part des forces de l'esprit lui-même pour examiner tout ce qui se passe en lui et en toute autre chose, en évitant d'utiliser des présupposés. Pour marquer cette différence de perspective et la disposition réitérée du philosophe français dans son élaboration, nous soulignons la limitation de la notion de concept - soit celle de la tradition aristotélicienne-scolastique, soit celle post-cartésienne, fortement marquée par la représentation scientifique - pour rendre compte de la problématique du phénomène humain. En ce sens, nous insistons sur la richesse et l'amplitude de la notion d'idée - élaborée et retravaillée au fil des années par Descartes - pour faire face à ce phénomène complexe. Une fois l'homme n'est plus une substance, la manifestation de ses aspects reste toujours adjective, pouvant le qualifier sans toutefois favoriser sa compréhension. Cette difficulté d'appréhension exige donc que l'étude de l'idée de l'homme explore jusqu'à la limite la rationalité humaine elle-même. Mots-clés: Descartes; Homme; Idée; Concept; Définition.",0
https://openalex.org/W1980564456,Intuitionistic fuzzy sets,No abstract available,https://openalex.org/W2934716425,Decision making method based on Pythagorean fuzzy sets and its application to solid waste management,"The fuzzy decision-making trial and evaluation laboratory (fuzzy DEMATEL) has been used to solve various multi-criteria group decision-making problems where triangular fuzzy numbers are utilized in defining decision makers' linguistic judgements. Most of the fuzzy DEMATEL modifications are built from linguistic variables based on fuzzy sets. Recent literature suggests that Pythagorean fuzzy sets (PFS) can offer a better alternative particularly when fuzzy sets have some extent of limitations in handling vagueness and uncertainty. This paper proposes a modification fuzzy DEMATEL characterized by PFS for linguistic variables. Differently from the typical fuzzy DEMATEL which directly utilizes triangular fuzzy numbers with a single membership, this modification introduces membership and non-membership of PFS to enhance judgements in the group decision-making environment. The proposed method has a number of attractive features. It includes linguistic variables, expert's weights, and score function, in which all of these features are expressed by PFS. The proposed modification is applied to a case of solid waste management (SWM) where ten criteria are considered in assessment. Six experts in SWM were invited to provide linguistic judgments with respect to the criteria, and the eleven-step computational procedure of the proposed method was implemented without losing the general structure of the DEMATEL method. The results unveiled that four criteria are identified as 'cause group' and six criteria are identified as 'effect group' in SWM. The grouping of criteria would help policy makers in identifying the criteria that could enhance the efficiency of SWM.",1
https://openalex.org/W1988242903,Intuitionistic fuzzy based DEMATEL method for developing green practices and performances in a green supply chain,No abstract available,https://openalex.org/W2934716425,Decision making method based on Pythagorean fuzzy sets and its application to solid waste management,"The fuzzy decision-making trial and evaluation laboratory (fuzzy DEMATEL) has been used to solve various multi-criteria group decision-making problems where triangular fuzzy numbers are utilized in defining decision makers' linguistic judgements. Most of the fuzzy DEMATEL modifications are built from linguistic variables based on fuzzy sets. Recent literature suggests that Pythagorean fuzzy sets (PFS) can offer a better alternative particularly when fuzzy sets have some extent of limitations in handling vagueness and uncertainty. This paper proposes a modification fuzzy DEMATEL characterized by PFS for linguistic variables. Differently from the typical fuzzy DEMATEL which directly utilizes triangular fuzzy numbers with a single membership, this modification introduces membership and non-membership of PFS to enhance judgements in the group decision-making environment. The proposed method has a number of attractive features. It includes linguistic variables, expert's weights, and score function, in which all of these features are expressed by PFS. The proposed modification is applied to a case of solid waste management (SWM) where ten criteria are considered in assessment. Six experts in SWM were invited to provide linguistic judgments with respect to the criteria, and the eleven-step computational procedure of the proposed method was implemented without losing the general structure of the DEMATEL method. The results unveiled that four criteria are identified as 'cause group' and six criteria are identified as 'effect group' in SWM. The grouping of criteria would help policy makers in identifying the criteria that could enhance the efficiency of SWM.",1
https://openalex.org/W1980564456,Intuitionistic fuzzy sets,No abstract available,https://openalex.org/W2934716425,Decision making method based on Pythagorean fuzzy sets and its application to solid waste management,"The fuzzy decision-making trial and evaluation laboratory (fuzzy DEMATEL) has been used to solve various multi-criteria group decision-making problems where triangular fuzzy numbers are utilized in defining decision makers' linguistic judgements. Most of the fuzzy DEMATEL modifications are built from linguistic variables based on fuzzy sets. Recent literature suggests that Pythagorean fuzzy sets (PFS) can offer a better alternative particularly when fuzzy sets have some extent of limitations in handling vagueness and uncertainty. This paper proposes a modification fuzzy DEMATEL characterized by PFS for linguistic variables. Differently from the typical fuzzy DEMATEL which directly utilizes triangular fuzzy numbers with a single membership, this modification introduces membership and non-membership of PFS to enhance judgements in the group decision-making environment. The proposed method has a number of attractive features. It includes linguistic variables, expert's weights, and score function, in which all of these features are expressed by PFS. The proposed modification is applied to a case of solid waste management (SWM) where ten criteria are considered in assessment. Six experts in SWM were invited to provide linguistic judgments with respect to the criteria, and the eleven-step computational procedure of the proposed method was implemented without losing the general structure of the DEMATEL method. The results unveiled that four criteria are identified as 'cause group' and six criteria are identified as 'effect group' in SWM. The grouping of criteria would help policy makers in identifying the criteria that could enhance the efficiency of SWM.",1
https://openalex.org/W1988242903,Intuitionistic fuzzy based DEMATEL method for developing green practices and performances in a green supply chain,No abstract available,https://openalex.org/W2934716425,Decision making method based on Pythagorean fuzzy sets and its application to solid waste management,"The fuzzy decision-making trial and evaluation laboratory (fuzzy DEMATEL) has been used to solve various multi-criteria group decision-making problems where triangular fuzzy numbers are utilized in defining decision makers' linguistic judgements. Most of the fuzzy DEMATEL modifications are built from linguistic variables based on fuzzy sets. Recent literature suggests that Pythagorean fuzzy sets (PFS) can offer a better alternative particularly when fuzzy sets have some extent of limitations in handling vagueness and uncertainty. This paper proposes a modification fuzzy DEMATEL characterized by PFS for linguistic variables. Differently from the typical fuzzy DEMATEL which directly utilizes triangular fuzzy numbers with a single membership, this modification introduces membership and non-membership of PFS to enhance judgements in the group decision-making environment. The proposed method has a number of attractive features. It includes linguistic variables, expert's weights, and score function, in which all of these features are expressed by PFS. The proposed modification is applied to a case of solid waste management (SWM) where ten criteria are considered in assessment. Six experts in SWM were invited to provide linguistic judgments with respect to the criteria, and the eleven-step computational procedure of the proposed method was implemented without losing the general structure of the DEMATEL method. The results unveiled that four criteria are identified as 'cause group' and six criteria are identified as 'effect group' in SWM. The grouping of criteria would help policy makers in identifying the criteria that could enhance the efficiency of SWM.",1
